(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 901.0 ; 2214.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2007-12-31>) -> (?a czso:podilNezamestnanych [ 1.2 ; 3.6550000000000002 )) | support: 13, headCoverage: 0.005409904286308781, confidence: 0.7222222222222222, headSize: 2403, bodySize: 18
(?a qb:dataSet <jaurRegionsTotal>) ^ (?a czso:podilNezamestnanych [ 4.2 ; 4.904999999999999 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2007-12-31>) -> (?a czso:pocetVolnychMist [ 4511.0 ; 7139.0 )) | support: 4, headCoverage: 0.004993757802746567, confidence: 1.0, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4973.5 ; 5952.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2008-12-31>) -> (?a czso:pocetVolnychMist [ 698.5 ; 878.0 )) | support: 4, headCoverage: 0.004993757802746567, confidence: 0.6666666666666666, headSize: 801, bodySize: 6
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 3509.0 ; 4140.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2009-12-31>) -> (?a czso:pocetVolnychMist [ 37.0 ; 163.0 )) | support: 4, headCoverage: 0.004993757802746567, confidence: 0.6666666666666666, headSize: 801, bodySize: 6
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 5.3 ; 5.970000000000001 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3607>) -> (?a czso:pocetVolnychMist [ 37.0 ; 163.0 )) | support: 4, headCoverage: 0.004993757802746567, confidence: 1.0, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 2928.0 ; 3509.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3811>) -> (?a czso:pocetVolnychMist [ 37.0 ; 163.0 )) | support: 4, headCoverage: 0.004993757802746567, confidence: 0.6666666666666666, headSize: 801, bodySize: 6
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 3509.0 ; 4140.5 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3303>) -> (?a czso:pocetVolnychMist [ 37.0 ; 163.0 )) | support: 4, headCoverage: 0.004993757802746567, confidence: 0.8, headSize: 801, bodySize: 5
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 10.045 ; 16.49 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3713>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4019.0 ; 4855.0 )) | support: 11, headCoverage: 0.004577611319184353, confidence: 0.9166666666666666, headSize: 2403, bodySize: 12
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4019.0 ; 4855.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3713>) -> (?a czso:podilNezamestnanych [ 10.045 ; 16.49 ]) | support: 11, headCoverage: 0.004577611319184353, confidence: 1.0, headSize: 2403, bodySize: 11
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 10.045 ; 16.49 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3706>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4855.0 ; 13697.0 ]) | support: 10, headCoverage: 0.004161464835622139, confidence: 1.0, headSize: 2403, bodySize: 10
(?a qb:dataSet <jaurRegionsBySex>) ^ (?a czso:podilNezamestnanych [ 9.43 ; 11.5 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/vusc/60>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 26473.0 ; 31649.0 )) | support: 10, headCoverage: 0.004161464835622139, confidence: 0.7142857142857143, headSize: 2403, bodySize: 14
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4855.0 ; 13697.0 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3706>) -> (?a czso:podilNezamestnanych [ 10.045 ; 16.49 ]) | support: 10, headCoverage: 0.004161464835622139, confidence: 0.7142857142857143, headSize: 2403, bodySize: 14
